metric,value
version,2026.08.26-graph-scheduler-v1
seeds_per_cell,30
horizon,4200
topologies[0],line
topologies[1],fan_in
topologies[2],fan_out
topologies[3],diamond
topologies[4],self_loop
topologies[5],two_cycle
loads[0],under
loads[1],capacity
loads[2],over
policies[0],reactive
policies[1],watermark
policies[2],credit
policies[3],pi
policies[4],aimd:a=0.5:m=1.35
policies[5],aimd:a=0.5:m=1.8
policies[6],aimd:a=0.5:m=2.5
policies[7],aimd:a=1.0:m=1.35
policies[8],aimd:a=1.0:m=1.8
policies[9],aimd:a=1.0:m=2.5
policies[10],aimd:a=2.0:m=1.35
policies[11],aimd:a=2.0:m=1.8
policies[12],aimd:a=2.0:m=2.5
aggregate.line.capacity.aimd:a=0.5:m=1.35.max_node_queue,36.0
aggregate.line.capacity.aimd:a=0.5:m=1.35.max_external_backlog,192.76666666666668
aggregate.line.capacity.aimd:a=0.5:m=1.35.pending_after_drain,0.0
aggregate.line.capacity.aimd:a=0.5:m=1.35.sustained_no_progress,0.0
aggregate.line.capacity.aimd:a=0.5:m=1.35.activations,336.9
aggregate.line.capacity.aimd:a=0.5:m=1.35.blocked_ticks,224.6
aggregate.line.capacity.aimd:a=0.5:m=1.35.busy_ticks,3786.9666666666667
aggregate.line.capacity.aimd:a=0.5:m=1.35.atomic_publish_stalls,0.0
aggregate.line.capacity.aimd:a=0.5:m=1.35.overflow_attempts,0.0
aggregate.line.capacity.aimd:a=0.5:m=1.35.queue_cv,0.28723359681362837
aggregate.line.capacity.aimd:a=0.5:m=1.35.queue_direction_reversals,123.66666666666667
aggregate.line.capacity.aimd:a=0.5:m=1.35.source_fairness,1.0
aggregate.line.capacity.aimd:a=0.5:m=1.8.generated_traces,421.4
aggregate.line.capacity.aimd:a=0.5:m=1.8.sink_completions,421.4
aggregate.line.capacity.aimd:a=0.5:m=1.8.throughput_per_1000_ticks,100.33333333333333
