metric,value
version,2026.08.26-public-v1
python,"3.11.16 (main, Aug 13 2026, 02:46:14) [GCC 13.3.0]"
evidence_class,public_dataset_deterministic_retrieval
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.ndcg_at_3,0.9765625
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.hit_at_5,1.0
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.recall_at_5,1.0
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.complete_at_5,1.0
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.ndcg_at_5,0.9826070751130397
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.hit_at_10,1.0
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.recall_at_10,1.0
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.complete_at_10,1.0
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.ndcg_at_10,0.9826070751130397
longmemeval.session_retrieval.rrf_word_bigram.multi-session.n,121
longmemeval.session_retrieval.rrf_word_bigram.multi-session.mrr,0.9057068006265867
longmemeval.session_retrieval.rrf_word_bigram.multi-session.hit_at_1,0.859504132231405
longmemeval.session_retrieval.rrf_word_bigram.multi-session.recall_at_1,0.3618457300275482
longmemeval.session_retrieval.rrf_word_bigram.multi-session.complete_at_1,0.0
longmemeval.session_retrieval.rrf_word_bigram.multi-session.ndcg_at_1,0.859504132231405
longmemeval.session_retrieval.rrf_word_bigram.multi-session.hit_at_3,0.9421487603305785
longmemeval.session_retrieval.rrf_word_bigram.multi-session.recall_at_3,0.765564738292011
longmemeval.session_retrieval.rrf_word_bigram.multi-session.complete_at_3,0.5454545454545454
longmemeval.session_retrieval.rrf_word_bigram.multi-session.ndcg_at_3,0.8107050096397243
longmemeval.session_retrieval.rrf_word_bigram.multi-session.hit_at_5,0.9669421487603306
longmemeval.session_retrieval.rrf_word_bigram.multi-session.recall_at_5,0.8512396694214877
longmemeval.session_retrieval.rrf_word_bigram.multi-session.complete_at_5,0.6776859504132231
longmemeval.session_retrieval.rrf_word_bigram.multi-session.ndcg_at_5,0.8330329426034775
longmemeval.session_retrieval.rrf_word_bigram.multi-session.hit_at_10,0.9834710743801653
longmemeval.session_retrieval.rrf_word_bigram.multi-session.recall_at_10,0.9108815426997245
longmemeval.session_retrieval.rrf_word_bigram.multi-session.complete_at_10,0.8099173553719008
longmemeval.session_retrieval.rrf_word_bigram.multi-session.ndcg_at_10,0.8606470474815223
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.n,30
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.mrr,0.5285480859010271
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.hit_at_1,0.3333333333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.recall_at_1,0.3333333333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.complete_at_1,0.3333333333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.ndcg_at_1,0.3333333333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.hit_at_3,0.6
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.recall_at_3,0.6
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.complete_at_3,0.6
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.ndcg_at_3,0.49285261738095815
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.hit_at_5,0.8666666666666667
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.recall_at_5,0.8666666666666667
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.complete_at_5,0.8666666666666667
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.ndcg_at_5,0.6003957410607211
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.hit_at_10,0.9333333333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.recall_at_10,0.9333333333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.complete_at_10,0.9333333333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-preference.ndcg_at_10,0.623380425075433
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.n,127
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.mrr,0.8901806781728042
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.hit_at_1,0.84251968503937
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.recall_at_1,0.43937007874015743
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.complete_at_1,0.11023622047244094
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.ndcg_at_1,0.84251968503937
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.hit_at_3,0.937007874015748
longmemeval.session_retrieval.rrf_word_bigram.temporal-reasoning.recall_at_3,0.8253280839895013
